"FISHID","fish_name","scientific_name","family","genus","gear","fisher_ID","date","month","year","village","time_decimal","total_weight","number_fish","total_sold","total_consumed"
0,"laoko",NA,NA,NA,1,28,2017-06-17,6,2017,4,2.33,0.525,1,0.525,0
0,"laoko",NA,NA,NA,8,9,2016-11-26,11,2016,2,4.75,1.945,1,0,1.945
0,"laoko",NA,NA,NA,1,28,2016-09-09,9,2016,4,2.17,0.105,2,0.105,0
0,"laoko",NA,NA,NA,8,9,2017-05-15,5,2017,3,2.53,0.025,1,0.025,0
0,"laoko",NA,NA,NA,1,13,2016-11-26,11,2016,2,9.33,2.34,2,0,2.34
0,"laoko",NA,NA,NA,7,24,2016-07-19,7,2016,4,2.33,0.23,1,0.23,0
0,"laoko",NA,NA,NA,1,8,2017-03-29,3,2017,2,3.5,0.285,1,0,0.285
0,"laoko",NA,NA,NA,1,8,2017-06-21,6,2017,2,3.83,0.065,1,0,0.065
0,"laoko",NA,NA,NA,8,37,2017-08-20,8,2017,4,3.92,1.515,2,0,1.515
0,"laoko",NA,NA,NA,7,25,2016-07-19,7,2016,4,1,0.69,3,0.69,0
0,"laoko",NA,NA,NA,1,10,2017-03-25,3,2017,3,2.57,0.2,1,0.2,0
0,"laoko",NA,NA,NA,1,9,2016-10-14,10,2016,4,2,1.609,1,1.609,0
0,"laoko",NA,NA,NA,1,8,2017-01-28,1,2017,2,3.17,0.08,1,0,0.08
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,27,2016-03-18,3,2016,1,3.08,0.12,1,0,0.12
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,29,2016-04-23,4,2016,1,4.13,1.5712146776406,4,1.5712146776406,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,36,2016-03-22,3,2016,1,4,0.145,1,0,0.145
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,5,2016-02-26,2,2016,1,6.5,2.35682201646091,6,2.35682201646091,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,18,2017-04-20,4,2017,2,3.25,0.315,2,0,0.315
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,2,2016-03-12,3,2016,3,2.28,0.125,1,0,0.125
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,11,2016-07-17,7,2016,3,3.33,2.625,6,0,2.625
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,52,2017-03-23,3,2017,1,3.58,0.785607338820302,2,0.785607338820302,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,14,2016-06-16,6,2016,2,4.92,0.075,1,0.075,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2016-10-27,10,2016,2,4.42,2.82,5,1.625,1.195
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-06-11,6,2016,3,1.7,0.342,1,0,0.342
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,36,2017-02-22,2,2017,1,7.42,3.92803669410151,10,3.92803669410151,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,1,2017-02-22,2,2017,1,5.02,0.02,1,0,0.02
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-06-29,6,2016,2,4.17,0.52,3,0.52,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-10-09,10,2016,4,3,2.266,2,2.266,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-05-08,5,2016,2,3.33,0.025,1,0,0.025
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-02-26,2,2016,1,6,0.392803669410151,1,0.392803669410151,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,34,2016-10-26,10,2016,1,5.18,1.96401834705075,5,1.96401834705075,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,39,2017-08-20,8,2017,1,3.67,0.06,1,0,0.06
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,16,2017-02-24,2,2017,2,3.8,0.095,2,0,0.095
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,32,2016-03-18,3,2016,1,5.25,2.35682201646091,6,2.35682201646091,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,23,2016-06-19,6,2016,4,2.83,3.095,3,3.095,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,2,2016-03-22,3,2016,1,3.12,0.15,1,0,0.15
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,12,2016-04-28,4,2016,1,2.75,0.135,1,0,0.135
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-03-12,3,2016,1,6.27,2.74962568587106,7,2.74962568587106,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,36,2017-07-23,7,2017,1,6.92,0.06,1,0,0.06
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,5,2016-11-26,11,2016,2,3.25,1.48,1,1.48,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,5,2016-05-30,5,2016,2,4.07,0.39,2,0,0.39
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,29,2016-03-18,3,2016,1,3.17,0.235,2,0,0.235
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2016-06-15,6,2016,2,5.75,0.265,2,0.265,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2017-02-24,2,2017,2,2.88,0.035,1,0,0.035
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,17,2016-02-26,2,2016,1,4.75,0.045,1,0,0.045
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,8,2017-02-22,2,2017,1,3.33,0.08,2,0,0.08
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,34,2017-06-08,6,2017,1,6.9,0.075,1,0,0.075
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,18,2017-09-17,9,2017,2,5.58,0.42,2,0.42,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,4,2016-03-18,3,2016,1,3.42,0.115,1,0.115,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-05-12,5,2016,2,3.5,0.15,1,0,0.15
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,35,2016-03-12,3,2016,1,5.25,2.35682201646091,6,2.35682201646091,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2016-06-29,6,2016,2,5.97,0.22,1,0,0.22
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,14,2016-06-20,6,2016,2,5.23,0.345,3,0.345,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,10,2016-05-26,5,2016,3,2.82,0.11,1,0,0.11
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-05-30,5,2016,2,4.33,0.285,1,0.285,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,8,2017-04-30,4,2017,2,4.08,0.12,1,0,0.12
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,10,2016-04-26,4,2016,2,4.33,1.46,9,1.46,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,36,2016-04-28,4,2016,1,4.77,1.17841100823045,3,1.17841100823045,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,24,2016-10-26,10,2016,2,3.42,0.225,1,0.225,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,39,2017-05-15,5,2017,1,3.42,0.06,1,0,0.06
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,42,2017-07-24,7,2017,1,7.73,0.392803669410151,1,0.392803669410151,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2016-03-26,3,2016,2,4.5,0.155,1,0.155,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2016-11-13,11,2016,3,3.4,0.747,1,0,0.747
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2017-05-20,5,2017,2,3.17,0.245,3,0.245,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-06-15,6,2016,2,3.92,1.355,8,1.355,0
